name_1,name_2
subf-2_mp-mf_Agogo_beat4-7_rvb1_off0,subf-2_mp-mf_Agogo_beat4-7_rvb1_off264
subf-2_mp-mf_Agogo_beat4-7_rvb1_off0,subf-2_mp-mf_Agogo_beat4-7_rvb1_off431
subf-1_pp-mf_Woodblock_beat4-3_rvb2_off431,subf-1_pp-mf_Woodblock_beat4-3_rvb2_off264
subf-1_pp-mf_Woodblock_beat4-3_rvb2_off431,subf-1_pp-mf_Woodblock_beat4-3_rvb2_off0
revhairpin-2_pp-ff_Agogo_beat4-5_rvb1_off431,revhairpin-2_pp-ff_Agogo_beat4-5_rvb1_off264
revhairpin-2_pp-ff_Agogo_beat4-5_rvb1_off431,revhairpin-2_pp-ff_Agogo_beat4-5_rvb1_off0
subp-1_pp-f_Woodblock_beat4-4_rvb1_off0,subp-1_pp-f_Woodblock_beat4-4_rvb1_off431
subp-1_pp-f_Woodblock_beat4-4_rvb1_off0,subp-1_pp-f_Woodblock_beat4-4_rvb1_off264
hairpin-3_mp-ff_MelodicTom_beat4-4_rvb0_off0,hairpin-3_mp-ff_MelodicTom_beat4-4_rvb0_off264
flat_mf-mf_DSnareDrum1_beat4-4_rvb1_off431,flat_mf-mf_DSnareDrum1_beat4-4_rvb1_off264
flat_mf-mf_DSnareDrum1_beat4-4_rvb1_off431,flat_mf-mf_DSnareDrum1_beat4-4_rvb1_off0
cresc_mp-f_DSnareDrum1_beat4-5_rvb0_off0,cresc_mp-f_DSnareDrum1_beat4-5_rvb0_off431
cresc_mp-f_DSnareDrum1_beat4-5_rvb0_off0,cresc_mp-f_DSnareDrum1_beat4-5_rvb0_off264
subf-1_pp-f_MelodicTom_beat4-3_rvb0_off264,subf-1_pp-f_MelodicTom_beat4-3_rvb0_off0
subf-1_pp-f_MelodicTom_beat4-3_rvb0_off264,subf-1_pp-f_MelodicTom_beat4-3_rvb0_off431
subp-2_p-ff_Agogo_beat4-7_rvb1_off431,subp-2_p-ff_Agogo_beat4-7_rvb1_off264
subp-2_p-ff_Agogo_beat4-7_rvb1_off431,subp-2_p-ff_Agogo_beat4-7_rvb1_off0
subp-2_p-f_Woodblock_beat4-6_rvb1_off264,subp-2_p-f_Woodblock_beat4-6_rvb1_off0
subf-2_p-ff_Agogo_beat4-3_rvb0_off0,subf-2_p-ff_Agogo_beat4-3_rvb0_off431
subf-2_p-ff_Agogo_beat4-3_rvb0_off0,subf-2_p-ff_Agogo_beat4-3_rvb0_off264
subp-1_mp-ff_MelodicTom_beat4-5_rvb0_off264,subp-1_mp-ff_MelodicTom_beat4-5_rvb0_off431
subp-1_mp-ff_MelodicTom_beat4-5_rvb0_off264,subp-1_mp-ff_MelodicTom_beat4-5_rvb0_off0
cresc_pp-f_Agogo_beat4-4_rvb2_off431,cresc_pp-f_Agogo_beat4-4_rvb2_off0
cresc_pp-f_Agogo_beat4-4_rvb2_off431,cresc_pp-f_Agogo_beat4-4_rvb2_off264
revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb2_off431,revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb2_off0
revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb2_off431,revhairpin-2_mp-ff_DSnareDrum1_beat4-4_rvb2_off264
hairpin-1_p-mf_TaikoDrum_beat4-6_rvb1_off264,hairpin-1_p-mf_TaikoDrum_beat4-6_rvb1_off0
hairpin-1_p-mf_TaikoDrum_beat4-6_rvb1_off264,hairpin-1_p-mf_TaikoDrum_beat4-6_rvb1_off431
subp-3_p-ff_Woodblock_beat4-6_rvb0_off0,subp-3_p-ff_Woodblock_beat4-6_rvb0_off264
subp-3_p-ff_Woodblock_beat4-6_rvb0_off0,subp-3_p-ff_Woodblock_beat4-6_rvb0_off431
subf-3_p-f_TaikoDrum_beat4-7_rvb0_off0,subf-3_p-f_TaikoDrum_beat4-7_rvb0_off264
subf-3_p-f_TaikoDrum_beat4-7_rvb0_off0,subf-3_p-f_TaikoDrum_beat4-7_rvb0_off431
revhairpin-2_p-mf_Woodblock_beat4-7_rvb1_off264,revhairpin-2_p-mf_Woodblock_beat4-7_rvb1_off0
revhairpin-2_p-mf_Woodblock_beat4-7_rvb1_off264,revhairpin-2_p-mf_Woodblock_beat4-7_rvb1_off431
revhairpin-2_mp-f_TaikoDrum_beat4-3_rvb2_off0,revhairpin-2_mp-f_TaikoDrum_beat4-3_rvb2_off431
revhairpin-2_mp-f_TaikoDrum_beat4-3_rvb2_off0,revhairpin-2_mp-f_TaikoDrum_beat4-3_rvb2_off264
subp-2_pp-ff_TaikoDrum_beat4-4_rvb2_off431,subp-2_pp-ff_TaikoDrum_beat4-4_rvb2_off0
